owner,name,category,language,description,workflow_file,platforms
chromium,chromium,browser,C++,The Chromium browser project,linux-build.yml,"ubuntu-latest"
mozilla,gecko-dev,browser,C++,Firefox browser engine,ci.yml,"ubuntu-latest,macos-latest"
WebKit,WebKit,browser,C++,WebKit browser engine,build.yml,"ubuntu-latest,macos-latest"
v8,v8,compiler,C++,Google's JavaScript engine,ci.yml,"ubuntu-latest"
llvm,llvm-project,compiler,C++,The LLVM Compiler Infrastructure,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
gcc-mirror,gcc,compiler,C,GNU Compiler Collection,ci.yml,"ubuntu-latest"
rust-lang,rust,compiler,Rust,Empowering everyone to build reliable and efficient software,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
golang,go,compiler,Go,The Go programming language,test.yml,"ubuntu-latest,macos-latest,windows-latest"
dotnet,runtime,compiler,C#,.NET runtime and libraries,runtime.yml,"ubuntu-latest,macos-latest,windows-latest"
swift,swift,compiler,Swift,The Swift Programming Language,ci.yml,"ubuntu-latest,macos-latest"
ziglang,zig,compiler,Zig,General-purpose programming language and toolchain,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
python,cpython,compiler,C,The Python programming language,build.yml,"ubuntu-latest,macos-latest,windows-latest"
JuliaLang,julia,compiler,Julia,The Julia Programming Language,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
crystal-lang,crystal,compiler,Crystal,The Crystal Programming Language,ci.yml,"ubuntu-latest,macos-latest"
nim-lang,Nim,compiler,Nim,Nim programming language,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
elixir-lang,elixir,compiler,Elixir,Elixir programming language,ci.yml,"ubuntu-latest,macos-latest,windows-latest"
AssemblyScript,assemblyscript,compiler,TypeScript,A TypeScript-like language for WebAssembly,test.yml,"ubuntu-latest"
postgres,postgres,database,C,PostgreSQL database,ci.yml,"ubuntu-latest"
MariaDB,server,database,C++,MariaDB server,ci.yml,"ubuntu-latest"
mongodb,mongo,database,C++,MongoDB document database,ci.yml,"ubuntu-latest"
